"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","0","0.0-0.0","fk2t3gp8jq","19","textures_list2","","","",""
"","","","","","html-button-response","1","2102","0.0-1.0","fk2t3gp8jq","19","textures_list2","2102","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","4469","0.0-2.0","fk2t3gp8jq","19","textures_list2","1365","","",""
"","","","","","html-button-response","3","137794","0.0-3.0","fk2t3gp8jq","19","textures_list2","133323","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top: auto; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles like this one (hold up smooth tile to show them).
                <br><br> In front of you is a box with 9 texture tiles layed out in 3 rows of three. Please take a moment to feel each of these texture tiles as I explain your task.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones you are feeling now.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole surface of the tile.
                <br> And some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> Your task is to rate how uniform the texture feels on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7. Please make your rating based on your initial intuitions for each texture.
                <br><br> Please be sure to feel the entire texture tile as you make your ratings and use the full range of the scale in your ratings.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","139201","0.0-4.0","fk2t3gp8jq","19","textures_list2","1406","<p>You have been assigned to <strong>textures_list2</strong>.</p>
               <p>Press any key to begin the experiment.</p>","enter",""
"","","","","","survey-text","5","169293","0.0-5.0","fk2t3gp8jq","19","textures_list2","30090","","{""Q0"":""6""}","D12"
"","","","","","survey-text","6","181510","0.0-6.0","fk2t3gp8jq","19","textures_list2","12216","","{""Q0"":""7""}","D32"
"","","","","","survey-text","7","200676","0.0-7.0","fk2t3gp8jq","19","textures_list2","19164","","{""Q0"":""5""}","D84"
"","","","","","survey-text","8","217372","0.0-8.0","fk2t3gp8jq","19","textures_list2","16694","","{""Q0"":""7""}","D51*"
"","","","","","survey-text","9","235778","0.0-9.0","fk2t3gp8jq","19","textures_list2","18404","","{""Q0"":""4""}","D54"
"","","","","","survey-text","10","248322","0.0-10.0","fk2t3gp8jq","19","textures_list2","12543","","{""Q0"":""2""}","D74"
"","","","","","survey-text","11","261975","0.0-11.0","fk2t3gp8jq","19","textures_list2","13651","","{""Q0"":""7""}","D16"
"","","","","","survey-text","12","280839","0.0-12.0","fk2t3gp8jq","19","textures_list2","18862","","{""Q0"":""1""}","D56"
"","","","","","survey-text","13","291947","0.0-13.0","fk2t3gp8jq","19","textures_list2","11107","","{""Q0"":""1""}","D73"
"","","","","","survey-text","14","306806","0.0-14.0","fk2t3gp8jq","19","textures_list2","14857","","{""Q0"":""6""}","D11"
"","","","","","survey-text","15","324242","0.0-15.0","fk2t3gp8jq","19","textures_list2","17435","","{""Q0"":""5""}","D33"
"","","","","","survey-text","16","340110","0.0-16.0","fk2t3gp8jq","19","textures_list2","15867","","{""Q0"":""5""}","D103"
"","","","","","survey-text","17","354694","0.0-17.0","fk2t3gp8jq","19","textures_list2","14582","","{""Q0"":""1""}","D87"
