"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","5p2ekjemre","1","textures_list2","","","",""
"","","","","","html-button-response","1","66040","0.0-1.0","5p2ekjemre","1","textures_list2","66036","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","69096","0.0-2.0","5p2ekjemre","1","textures_list2","2052","","",""
"","","","","","html-button-response","3","170780","0.0-3.0","5p2ekjemre","1","textures_list2","101676","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top:-250px; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole tile.
                <br> Some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones in front of you now. Please take a moment to feel all of the textures in front of you.
                <br><br> Your task is to rate how uniform the texture appears on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7.
                <br><br> Please be sure to feel the entire texture tile as you make your rating.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","190390","0.0-4.0","5p2ekjemre","1","textures_list2","19608","<p>You have been assigned to <strong>textures_list2</strong>.</p>
               <p>Press any key to begin the experiment.</p>","enter",""
"","","","","","survey-text","5","211809","0.0-5.0","5p2ekjemre","1","textures_list2","21413","","{""Q0"":""4""}","D11"
"","","","","","survey-text","6","232811","0.0-6.0","5p2ekjemre","1","textures_list2","20999","","{""Q0"":""5""}","D28"
"","","","","","survey-text","7","255010","0.0-7.0","5p2ekjemre","1","textures_list2","22196","","{""Q0"":""2""}","D91*"
"","","","","","survey-text","8","271242","0.0-8.0","5p2ekjemre","1","textures_list2","16230","","{""Q0"":""3""}","D73"
"","","","","","survey-text","9","294445","0.0-9.0","5p2ekjemre","1","textures_list2","23200","","{""Q0"":""2""}","D24"
"","","","","","survey-text","10","316399","0.0-10.0","5p2ekjemre","1","textures_list2","21952","","{""Q0"":""4""}","D87"
"","","","","","survey-text","11","330556","0.0-11.0","5p2ekjemre","1","textures_list2","14154","","{""Q0"":""3""}","D71"
"","","","","","survey-text","12","352330","0.0-12.0","5p2ekjemre","1","textures_list2","21772","","{""Q0"":""5""}","D65"
"","","","","","survey-text","13","367693","0.0-13.0","5p2ekjemre","1","textures_list2","15361","","{""Q0"":""3""}","D5"
"","","","","","survey-text","14","385773","0.0-14.0","5p2ekjemre","1","textures_list2","18078","","{""Q0"":""6""}","D75"
"","","","","","survey-text","15","404485","0.0-15.0","5p2ekjemre","1","textures_list2","18710","","{""Q0"":""2""}","D84"
"","","","","","survey-text","16","426700","0.0-16.0","5p2ekjemre","1","textures_list2","22212","","{""Q0"":""1""}","D59"
"","","","","","survey-text","17","439704","0.0-17.0","5p2ekjemre","1","textures_list2","13002","","{""Q0"":""2""}","D4"
"","","","","","survey-text","18","455056","0.0-18.0","5p2ekjemre","1","textures_list2","15351","","{""Q0"":""1""}","D93"
